cement,cao,al2o3,sio2,coarge aggregate,fine aggregate,water cement ratio,compressive strength
225,9.54,45.3825,126.45,865,898,0.4,33.94
231,9.7944,46.5927,129.822,862,864,0.38,38.9
258,10.9392,52.0386,144.996,835,836,0.34,41.21
330,9.328,44.374,123.64,826,827,0.32,45.95
360,10.176,48.408,134.88,797,796,0.3,53
360,10.176,48.408,134.88,812,813,0.28,56
400,10.6,50.425,140.5,785,785,0.26,61.64
450,10.6,50.425,140.5,760,760,0.25,66.29
390,2.4592,11.6986,32.596,881,874,0.35,25.5
384,0.095,0.133,36.1,863,836,0.5,29
310,98.9415,0.6237,0.8505,667,1018,0.34,51.2
315,85.854,0.5412,0.738,673,1025,0.36,50.7
320,80.0955,0.5049,0.6885,687,1016,0.37,53.6
330.36,7.57264,36.02362,100.3732,739.44,875.16,0.35,48.4
330.85,7.655744,36.418952,101.47472,739.44,857.57,0.35,57.3
331.33,7.736728,36.804199,102.54814,739.44,840,0.35,63.8
330.36,7.655744,36.418952,101.47472,754.18,875.16,0.35,61.3
330.85,7.736728,36.804199,102.54814,754.18,857.57,0.35,50.45
331.33,7.57264,36.02362,100.3732,754.18,840,0.35,53.1
330.85,7.57264,36.02362,100.3732,768.88,875.16,0.35,61.1
331.33,7.655744,36.418952,101.47472,768.88,857.57,0.35,55.9
330.36,7.736728,36.804199,102.54814,768.88,840,0.35,55.3
331.33,7.736728,36.804199,102.54814,739.44,875.16,0.35,57.3
330.36,7.95424,37.83892,105.4312,739.44,857.57,0.35,65.6
330.85,7.655744,36.418952,101.47472,739.44,840,0.35,53.6
330.85,7.736728,36.804199,102.54814,754.18,875.16,0.35,52.9
331.33,7.57264,36.02362,100.3732,754.18,857.57,0.35,47.3
330.36,7.655744,36.418952,101.47472,754.18,840,0.35,59.26
331.33,7.655744,36.418952,101.47472,768.88,875.16,0.35,51.53
330.36,7.736728,36.804199,102.54814,768.88,857.57,0.35,56.6
330.85,7.57264,36.02362,100.3732,768.88,840,0.35,58.45
540,2.544,12.102,33.72,750,900,0.33,78.05
420,7.632,36.306,101.16,750,900,0.32,79.19
570,0.075,0.105,27.03,750,900,0.33,80.42
540,0.15,0.21,54.06,750,900,0.32,79.18
540,1.47,3.714,46.314,750,900,0.35,77.82
510,2.205,5.571,69.471,750,900,0.35,77.15
360,7.782,36.516,155.22,750,900,0.33,70.67
360,9.102,40.02,147.474,750,900,0.33,73.7
407,10.3456,49.2148,137.128,761,815,0.28,70.4
428,10.8968,51.8369,144.434,736,788,0.27,74.5
438,11.1512,53.0471,147.806,723,774,0.27,69.5
458,11.66,55.4675,154.55,698,748,0.26,68.2
350,0.375,0.525,135.15,600,900,0.35,48.88
300,0.5,0.7,180.2,600,900,0.35,42.23
250,0.625,0.875,225.25,600,900,0.35,35.14
500,37.1685,0.2343,0.3195,639,967,0.3,62.2
350,42.5862,30.48336,84.6114,621,939,0.3,57.3
300,44.23505,40.56539,112.70735,613,927,0.31,59.1
250,46.0933,50.64874,140.8051,608,920,0.31,40.8
200,47.84685,60.73143,168.90195,603,912,0.31,38.1
150,49.6004,70.81412,196.9988,597,902,0.31,34.4
350,42.4815,30.4827,84.6105,620,937,0.3,52.4
300,44.54915,40.56737,112.71005,618,935,0.28,52.3
250,46.87855,50.65369,140.81185,622,941,0.26,47.5
200,48.5274,60.73572,168.9078,614,929,0.26,39.9
150,50.5427,70.82006,197.0069,613,927,0.25,32.8
467,3.5192,16.7411,46.646,762,865,0.33,74.2
412,5.8512,27.8346,77.556,752,887,0.33,73.4
357,8.1832,38.9281,108.466,742,878,0.33,67.5
440,37.532,18.326,36.41,775,866,0.33,77.9
330,75.064,36.652,72.82,772,863,0.33,74.8
220,112.596,54.978,109.23,769,861,0.33,71.6
495,28.7925,0.1815,0.2475,775,866,0.33,69.3
440,57.585,0.363,0.495,771,863,0.33,65.2
385,86.3775,0.5445,0.7425,768,860,0.33,60.2
377,125.1165,0.7887,1.0755,562,861,0.37,56.1
376,128.781,0.8118,1.107,577,886,0.33,49.7
377,129.3045,0.8151,1.1115,593,898,0.29,46.8
376,137.6805,0.8679,1.1835,609,932,0.25,42.8
377,142.392,0.8976,1.224,630,963,0.22,36.3
290,2.24,20.17,57.1,837,913,0.33,42.7
250,5.8464,52.6437,149.031,837,478,0.27,17
210,2.24,20.17,57.1,837,910,0.44,19.1
250,3.584,32.272,91.36,837,742,0.34,24.1
210,4.928,44.374,125.62,837,786,0.22,26.7
290,2.24,20.17,57.1,837,709,0.48,26.6
290,4.928,44.374,125.62,837,625,0.26,32.9
250,3.584,32.272,91.36,837,742,0.34,26
